from,to,potential (V)
Ac[3],Ac[0],-2.6
Ag[1],Ag[0],0.8
Ag[2],Ag[1],1.99
Ag[2],Ag[0],0.8
Al[3],Al[0],-1.66
As[3],As[0],0.3
At2[0],At[-1],0.2
Au[1],Au[0],1.69
Au[3],Au[1],1.36
Au[3],Au[0],1.5
Ba[2],Ba[0],-2.9
Be[2],Be[0],-1.7
Bi[3],Bi[0],0.23
Br2[0],Br[-1],1.09
Ca[2],Ca[0],-2.76
Cd[2],Cd[0],-0.4
Ce[4],Ce[3],1.7
Cl2[0],Cl[-1],1.36
Co[2],Co[0],-0.28
Co[3],Co[2],1.82
Cr[2],Cr[0],-0.9
Cr[3],Cr[2],-0.5
Cr[3],Cr[0],-0.73
Cs[1],Cs[0],-2.923
Cu[1],Cu[0],0.52
Cu[2],Cu[1],0.16
Cu[2],Cu[0],0.34
F2[0],F[-1],2.87
Fe[2],Fe[0],-0.45
Fe[3],Fe[2],0.77
Fe[3],Fe[0],-0.036
Ga[3],Ga[2],-0.65
Ga[3],Ga[0],-0.52
H2[0],H[-1],-2.25
H[1],H2[0],0
Hf[4],Hf[0],-1.7
Hg[1],Hg2[2],0.92
Hg[2],Hg[0],0.8
I2[0],I[-1],0.54
I3[-1],I[-1],0.536
In[3],In[1],-0.45
In[3],In[0],-0.34
K[1],K[0],-2.92
La[3],La[0],-2.37
Li[1],Li[0],-3.04
Mg[2],Mg[0],-2.37
Mn[2],Mn[0],-1.18
Mn[3],Mn[2],1.5
Mo[3],Mo[0],-0.2
N2[0],N3[-1],-3.4
Na[1],Na[0],-2.71
Nb[3],Nb[0],-1.1
Ni[2],Ni[0],-0.26
O2[0],O2[-1],-0.828
Pb[2],Pb[0],-0.13
Pb[4],Pb[2],1.67
Pd[2],Pd[0],0.83
Po[2],Po[0],0.65
Po[3],Po[0],0.56
Pt[2],Pt[0],1.2
Ra[2],Ra[0],-2.92
Rb[1],Rb[0],-2.925
Rh[2],Rh[0],0.6
Rh[3],Rh[0],0.8
Ru[3],Ru[2],0.249
S[0],S[-2],-0.508
Sb[3],Sb[0],0.25
Sc[3],Sc[0],-2.08
Se[0],Se[-2],-0.67
Sn[2],Sn[0],-0.14
Sn[4],Sn[2],0.15
Sr[2],Sr[0],-2.89
Tc[2],Tc[0],0.4
Te[4],Te[0],0.56
Te[0],Te[-2],-0.95
Th[4],Th[0],-2.1
Ti[1],Ti[0],-0.336
Ti[2],Ti[0],-1.75
Ti[3],Ti[1],0.77
Ti[3],Ti[2],-0.37
Ti[3],Ti[0],0.742
Ti[4],Ti[3],-0.04
U[3],U[0],-1.66
U[4],U[3],-0.52
V[2],V[0],-1.19
V[3],V[2],-0.26
Y[3],Y[0],-2.37
Zn[2],Zn[0],-0.76
Zr[4],Zr[0],-1.52
Tb[3],Tb[0],-2.391
Eu[2],Eu[0],-3.395
Eu[3],Eu[2],-0.429
Se[4],Se[0],0.741
V[3],V[0],-0.87
Co[3],Co[0],0.4
Pr[3],Pr[0],-2.462
W[6],W[0],-0.09
W[4],W[0],-0.119
Ce[3],Ce[0],-2.48
Ge[2],Ge[0],0
Ge[4],Ge[0],-0.12
Ir[3],Ir[0],1
Ru[3],Ru[0],0.38
Ru[2],Ru[0],0.45
Os[2],Os[0],0.85
Sn[4],Sn[0],0.01
Th[4],Th[3],-2.4
Th[3],Th[0],-1.73
Nd[3],Nd[0],-2.431
Pa[3],Pa[0],-1.34
U[4],U[0],-1.5
Pm[3],Pm[0],-2.423
Sm[3],Sm[0],-2.41
Np[3],Np[0],-1.856
Np[4],Np[3],0.152
Pu[3],Pu[0],-2.031
Pu[4],Pu[3],0.967
Am[3],Am[0],-2.32
Cm[3],Cm[0],-2.04
Gd[3],Gd[0],-2.397
Bk[4],Bk[3],1.6
Cf[3],Cf[0],-1.94
Dy[3],Dy[0],-2.353
Ho[3],Ho[0],-2.319
Es[0],Es[3],-1.91
Er[3],Er[0],-2.296
Fm[3],Fm[0],-1.89
Md[3],Md[0],-1.65
Tm[3],Tm[0],-2.278
No[3],No[0],-1.2
Yb[3],Yb[0],-1.205
Lu[3],Lu[0],-2.28
Lr[3],Lr[0],-1.96
Re[1],Re[0],-0.324
Re[1],Re[-1],-0.23
Re[3],Re[2],-0.23
Re[0],Re[-1],-0.136
Re[2],Re[1],0.02
Re[3],Re[0],0.3
In[1],In[0],-0.25
V[5],V[0],-0.25
V[5],V[3],0.668
W[6],W[5],-0.029
W[5],W[4],-0.031
W[6],W[0],-0.09
W[4],W[0],-0.119
Mo[6],Mo[0],0.154
Mo[4],Mo[0],-0.072
Mo[6],Mo[4],0.32
Ce[4],Ce[0],-0.87
Mn[4],Mn[2],1.228
Mn[4],Mn[0],0.049
Ru[4],Ru[0],0.79
Ti[4],Ti[0],-0.88
